number;name;brand;price;numberofsim;diagonal;width;length;screentechnology;os;numberofcore;memoryGB;sensortype
48;Xiaomi Poco X3 Pro 6/128GB, Metal Bronze;Xiaomi;129690;2;6.67;2400;1080;IPS;Собственная;8;128;акселерометр
49;Xiaomi Redmi 10 4/64GB, Sea Blue;Xiaomi;89990;2;6.5;2400;1080;IPS;Android;8;64;gps
50;Xiaomi Redmi 10 4/128GB, Pebble White;Xiaomi;99990;2;6.5;2400;1080;IPS;Android;8;128;gps
51;Xiaomi Redmi 10 4/128GB, Sea Blue;Xiaomi;99990;2;6.5;2400;1080;IPS;Android;8;128;gps
52;Xiaomi Redmi 10 4/64GB, Carbon Gray;Xiaomi;89990;2;6.5;2400;1080;IPS;Android;8;64;gps
53;Xiaomi Redmi 10 4/128GB, Carbon Gray;Xiaomi;99990;2;6.5;2400;1080;IPS;Android;8;128;gps
54;Realme C21Y (4/64), Blue;Realme;69990;2;6.5;1600;720;IPS;Android 10;8;64;gps
55;Realme C21Y (4/64), Black;Realme;69290;2;6.5;1600;720;IPS;Android 10;8;64;gps
56;Xiaomi Redmi 9T, 64GB (Ocean Green);Xiaomi;79990;2;6.53;2340;1080;IPS;Android;8;64;gps
57;Xiaomi Redmi 9T, 64GB (Carbon Gray);Xiaomi;79990;2;6.53;2340;1080;IPS;Android;8;64;gps
58;Xiaomi Redmi Note 10S 6-128GB Onyx Gray;Xiaomi;119990;2;6.43;2400;1080;AMOLED;Android 11;8;128;gps
59;Samsung Galaxy A03s 64GB, White;Samsung;69890;2;6.5;1600;720;LCD;Android 11;8;64;gps
60;Samsung Galaxy A03s 64GB, Blue;Samsung;69890;2;6.5;1600;720;LCD;Android 11;8;64;gps
61;Samsung Galaxy A03s 64GB, Black;Samsung;69890;2;6.5;1600;720;LCD;Android 11;8;64;gps
62;Samsung Galaxy A03s 32GB, White;Samsung;59890;2;6.5;1600;720;LCD;Android 11;8;32;gps
63;Samsung Galaxy A03s 32GB, Blue;Samsung;59890;2;6.5;1600;720;LCD;Android 11;8;32;gps
